                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4834,                  2.162,                 1.5899,                0.56862,                0.20766,                0.25878,                0.10184,                 1.9808,                 3.3567,                 2.4759,             0.00065741,             0.00065741,             0.00065741
                      2,                  1.717,                  2.175,                 1.7529,                0.29042,                0.35274,                0.25479,                0.08733,                 2.0544,                 3.2346,                 2.4063,              0.0013153,              0.0013153,              0.0013153
                      3,                 1.7334,                 2.0987,                 1.8093,                0.30352,                0.38014,                0.26356,                0.07906,                 2.1626,                 2.5503,                 2.4043,              0.0019645,              0.0019645,              0.0019645
                      4,                 1.7945,                 2.0351,                 1.8212,                0.45457,                0.38246,                0.38376,                0.14215,                 2.0525,                 2.7711,                 2.3297,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.8101,                 2.0028,                 1.8464,                0.34025,                 0.4589,                0.32768,                 0.1287,                 2.0612,                 2.4125,                 2.2719,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.7483,                 1.8774,                 1.8098,                0.47036,                0.42808,                0.43296,                0.17457,                 1.9927,                 2.3553,                 2.1823,               0.001934,               0.001934,               0.001934
                      7,                 1.7512,                 1.8324,                 1.7784,                0.53774,                0.43823,                0.40817,                 0.1679,                 2.0799,                 2.2513,                 2.3656,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.7418,                 1.8136,                 1.7746,                0.46746,                0.41438,                0.41043,                0.16889,                 2.0841,                 2.1691,                 2.1942,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.6731,                 1.7656,                  1.752,                0.63467,                0.49658,                 0.5521,                 0.2631,                 1.8489,                  1.792,                 2.0135,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.6841,                 1.7221,                 1.7447,                0.49735,                0.47945,                0.47539,                0.20743,                 1.8516,                 1.8336,                 2.0149,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.6587,                 1.6637,                 1.7144,                0.53981,                0.58904,                 0.5728,                0.25573,                 1.8209,                 2.0952,                 1.9621,               0.001868,               0.001868,               0.001868
                     12,                 1.6723,                 1.6648,                 1.7268,                0.57125,                 0.5156,                0.55647,                0.24648,                 1.8026,                 1.8583,                 2.0254,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.6058,                 1.6182,                 1.6787,                 0.5432,                0.57534,                0.54622,                0.25703,                 1.7895,                 1.7561,                 1.9894,              0.0018416,              0.0018416,              0.0018416
