                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8232,                  4.493,                 1.1791,                0.00301,                      1,                 0.4945,                0.30266,                 1.5977,                   4.09,                0.96754,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4123,                 2.6008,                 1.0081,                0.00339,                      1,                0.74739,                0.37942,                 1.1885,                 4.0256,                0.87058,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.2645,                 2.2063,                 1.0194,                0.00306,                      1,                 0.4265,                0.25048,                  1.195,                 3.9979,                0.87709,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.2655,                 1.9579,                 1.0054,                0.00308,                      1,                0.46045,                0.26438,                 1.2474,                 4.0054,                0.92192,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.1686,                 1.9755,                  1.019,                0.77709,                0.16667,                0.38253,                0.19441,                 1.4011,                 3.9679,                 1.0012,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.3891,                 1.8359,                 1.0867,                0.00355,                      1,                0.54539,                0.35197,                 1.2233,                  3.964,                 0.9787,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.1338,                 2.3527,                0.93616,                 0.0031,                      1,                0.74725,                0.52328,                0.91948,                 3.6182,                0.91942,             0.00097215,             0.00097215,             0.00097215
                      8,                  1.101,                 2.1928,                 0.9296,                0.00299,                0.95833,                0.39913,                 0.1922,                 1.1583,                 3.7871,                 1.0822,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.2577,                 1.7406,                 1.1011,                0.00308,                      1,                0.41711,                0.30383,                0.88713,                 3.3935,                0.96248,               0.001228,               0.001228,               0.001228
                     10,                 1.2865,                 1.6032,                 1.0905,                      1,                0.15861,                0.40978,                0.24821,                  1.147,                 3.2011,                 1.1004,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.1006,                 1.6213,                 1.0445,                      1,                0.12402,                0.48974,                0.30497,                 1.1572,                  3.294,                 1.1267,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.1417,                 1.4313,                0.99311,                0.85199,                  0.725,                0.95375,                0.70883,                 1.0506,                 2.1976,                 1.0495,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1009,                 1.4369,                  1.037,                0.95942,                0.83605,                  0.985,                0.74005,                 1.0087,                 2.1509,                 1.0243,               0.001469,               0.001469,               0.001469
                     14,                 1.1427,                 1.3021,                0.99737,                0.82408,                0.88811,                0.93661,                0.71184,                 1.0962,                  2.027,                 1.0576,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1557,                 1.2881,                 1.0174,                0.98778,                0.91319,                0.96805,                0.74642,                 1.0718,                 2.0038,                 1.0268,               0.001436,               0.001436,               0.001436
                     16,                0.99262,                 1.5826,                 0.8947,                0.95084,                0.95198,                0.99192,                0.71577,                 1.0785,                 1.5647,                 1.0432,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0625,                 1.2075,                 1.0181,                0.92251,                0.97094,                  0.995,                0.67815,                0.96697,                  1.349,                0.99203,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1008,                 1.1523,                 1.0009,                0.95876,                0.98798,                  0.995,                0.69025,                 1.0526,                 1.4024,                 1.0308,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2284,                 1.1805,                 1.0467,                0.97844,                0.93779,                  0.995,                 0.6658,                 1.2848,                 1.4851,                 1.1093,              0.0013699,              0.0013699,              0.0013699
